song,artist,release_year,composed,genre,appearances,also_performed_by,rating
Santa Claus is Comin' To Town,Boston Pops Orchestra / Arthur Fiedler,1928,J. Fred Coots,Classical,3,0,1.866666667
Amazing Grace (My Chains Are Gone),Chris Tomlin,2006,Louie Giglio,None,20,13,4
Just a Closer Walk With Thee,Canadian Brass,1984,Traditional,Laid-Back/Mellow,4,4,3.333333333
America,John Fahey,1971,John Fahey,None,3,0,3.833333333
"America, the Beautiful",National Philharmonic Orchestra / Leontyne Price,1982,Katharine Lee Bates,None,1,266,3
American Honky-Tonk Bar Association,Garth Brooks,1993,Brian Kennedy,Country,3,2,4.3
American Medley/God Bless America/America the Beautiful,Charlie Daniels / Doc Severinsen,2001,Paul Anka,None,1,0,2.5
Americans,Oneohtrix Point Never,2013,Daniel Lopatin,None,2,0,4
Amezemula,Mahotella Queens,2006,Hilda Tloubatla,None,2,0,None
Unchained Melody,Royal Philharmonic Orchestra,1935,Alex North,Classical,10,0,0.933333333
Send in the Clowns,Judy Collins,1975,Stephen Sondheim,Folk,35,0,2.043478261
Amor,Xavier Cugat,1961,Ricardo Lopez Mendez,None,6,26,3.3
Amazing Grace,Gheorghe Zamfir,1990,John Newton,Easy,1,200,4
Amusuke Eduze Kwami,Amaswazi Emvelo / Mahlathini,1990,None,None,1,0,4.5
An American Folk Medley,Chanticleer,1997,Steve Barnett,None,2,0,4
"An der schönen, blauen Donau (On the Beautiful, Blue Danube), waltz for orchestra (with chorus ad lib), Op. 314 (RV 314)",Luton Girls' Choir / George Melachrino,2001,Harry Graham,None,1,0,None
An Eagle in Your Mind,Boards of Canada,1998,Marcus Eoin,Electronic,2,0,3.65
An Old Straw Hat,Shirley Temple,1997,Sidney Mitchell,None,3,0,None
"Anabasis, for speaker, soprano, bass, chorus & orch (also vers. for voice & organ (or piano); and soprano, chorus & organ), Op. 141~Out of the Depths, Psalm 130",Alan Hovhaness,2001,Alan Hovhaness,None,1,0,None
Anahid,Alan Hovhaness,1989,Alan Hovhaness,None,1,0,None
The First Time Ever I Saw Your Face,Bert Jansch,1966,Ewan MacColl,Pop/Rock,11,200,4
Ancient Cry,Heather Bishop,1992,Heather Bishop,None,2,0,5
And God Created Great Whales,Alan Hovhaness,1989,Alan Hovhaness,None,1,0,None
Catch a Falling Star,Perry Como,1990,Nino Rota,Vocal,70,0,4.642857143
And on the Seventh Day Petals Fell in Petaluma,Gate 5 Ensemble / Harry Partch,2018,Harry Partch,None,1,0,None
And on the Seventh Day Petals Fell in Petaluma,Gate 5 Ensemble / Harry Partch,2018,Harry Partch,None,1,0,None
"And on the Seventh Day Petals Fell in Petaluma, for large ensemble of Partch instruments",Harry Partch,1997,Harry Partch,None,1,1,4.5
"And on the Seventh Day Petals Fell in Petaluma, for large ensemble of Partch instruments",Harry Partch,1997,Harry Partch,None,1,1,4.5
And So I Dance,Larry Heard,2000,Larry Heard,None,4,0,2.75
And the People Came,Metropolitan Symphony Orchestra / Turtle Creek Chorale,2000,Joe Martin,None,1,1,2.5
"Andalucía, song",Plácido Domingo,1992,Ernesto Lecuona,Lush,2,4,3.5
"Andalucía, song",Plácido Domingo,1992,Ernesto Lecuona,Lush,2,4,3.5
Andalucia,Ernesto Lecuona,1989,Ernesto Lecuona,None,4,51,3.5
Andante,Alan Hovhaness,1989,Alan Hovhaness,None,2,0,None
"Anderson: Rudolph the Red-Nosed Reindeer - Johnny Marks, Arr. Richard Hayman",Boston Pops Orchestra / Arthur Fiedler,2020,Leroy Anderson,None,5,0,None
"Anderson: Rudolph the Red-Nosed Reindeer - Johnny Marks, Arr. Richard Hayman",Boston Pops Orchestra / Arthur Fiedler,2020,Leroy Anderson,None,5,0,None
"Anderson: Rudolph the Red-Nosed Reindeer - Johnny Marks, Arr. Richard Hayman",Boston Pops Orchestra / Arthur Fiedler,2020,Leroy Anderson,None,5,0,None
"Anderson: Rudolph the Red-Nosed Reindeer - Johnny Marks, Arr. Richard Hayman",Boston Pops Orchestra / Arthur Fiedler,2020,Leroy Anderson,None,5,0,None
"Anderson: Rudolph the Red-Nosed Reindeer - Johnny Marks, Arr. Richard Hayman",Boston Pops Orchestra / Arthur Fiedler,2020,Leroy Anderson,None,5,0,None
"Anderson: Rudolph the Red-Nosed Reindeer - Johnny Marks, Arr. Richard Hayman",Boston Pops Orchestra / Arthur Fiedler,2020,Leroy Anderson,None,5,0,None
"Anderson: Rudolph the Red-Nosed Reindeer - Johnny Marks, Arr. Richard Hayman",Boston Pops Orchestra / Arthur Fiedler,2020,Leroy Anderson,None,5,0,None
Blowin' in the Wind,"Peter, Paul and Mary",1963,Bob Dylan,Folk,20,0,2.235294118
Angel Band (My latest sun is sinking fast),Anonymous 4,2004,Isaac Watts,None,1,0,4.5
Angel Band (My latest sun is sinking fast),Anonymous 4,2004,None,None,1,0,4.5
The First Time Ever I Saw Your Face,Gordon Lightfoot,1966,Ewan MacColl,Pop/Rock,13,200,4
Unchained Melody,Les Baxter,1954,Alex North,Easy,23,8,3.058823529
I Saw the Light,Hank Williams,1952,Hank Williams,Religious,74,194,3.888888889
You Do Something to Me,Ray Conniff,1957,Cole Porter,Easy,10,191,4
The Fool on the Hill,Sergio Mendes,1970,John Lennon,Easy,10,185,3.928571429
Heat Wave,Patti LuPone,1954,Irving Berlin,Stage,5,100,2.875
Angel's Asylum,John Carpenter,2016,Cody Carpenter,None,1,0,4
Angels' Carol,Cambridge Singers / City of London Sinfonia / John Rutter,1989,John Rutter,Rousing,3,14,4.25
Angels From the Realms of Glory,Julie Andrews,1993,Traditional,None,4,65,2.833333333
Angels we have heard on high,Herbert von Karajan / Leontyne Price,1961,Traditional,Joyous,2,685,None
Angels We Have Heard on High,Chris Tomlin,2005,Traditional,None,14,685,3.5
They Can't Take That Away from Me,Billie Holiday,1937,George Gershwin,Jazz,86,9,3.448148148
Love Is Here to Stay,Jackie Gleason,1953,George Gershwin,Easy,7,6,3.071428571
It's Beginning to Look a Lot Like Christmas,The Chipmunks,1962,Meredith Willson,Happy,6,0,1.9
Zip-A-Dee-Doo-Dah,Disney,1990,Ray Gilbert,Happy,6,0,1.8
Deck the Halls (Welsh),Royal Philharmonic Orchestra,1943,Traditional,Classical,3,0,1.2
Make the World Go Away,Eddy Arnold,1965,Hank Cochran,Country,61,94,2.993877551
Love Is Here to Stay,Jackie Gleason,1953,George Gershwin,Easy,7,5,3.071428571
Animal Crackers in My Soup,Shirley Temple,1996,Irving Caesar,None,11,9,3.375
Animal Express,Shelley Duvall,1991,Robert Irving,None,1,0,4.5
Animal Theme,Shelley Duvall,1991,Robert Irving,None,1,0,4.5
Danny Boy,The Chieftains / James Galway,1988,Frederick Edward Weatherly,Easy,2,445,3.5
Make the World Go Away,Ray Price,1963,Hank Cochran,Country,34,94,2.9
Annie: Highlights,Erich Kunzel / Rochester Pops,1989,Alex North,None,2,0,None
Two For the Road,James Galway / Henry Mancini,1984,Henry Mancini,Easy,1,93,3
Anonymous: Coventry Carol,King's College Choir of Cambridge / David Willcocks,2020,Franz Gruber,None,4,0,None
Anonymous: Coventry Carol,King's College Choir of Cambridge / David Willcocks,2020,Franz Gruber,None,4,0,None
"Anos, Meses y Dias",Tish Hinojosa,1991,Tish Hinojosa,None,1,0,4
"Anos, Meses y Dias (Years, Months and Days)",Tish Hinojosa,1997,Paul Glasse,None,1,0,3
Another Man Done Gone,Odetta,1954,Vera Hall,Blues,5,15,4.1
Another Night to Cry,Lonnie Johnson,1962,Lonnie Johnson,None,10,1,3.25
Long Black Veil,Joan Baez,1963,Danny Dill,Folk,7,0,1.928571429
Another Time and Place,Dave Van Ronk,1985,Dave Van Ronk,None,5,2,3.5
Anthem,Josh Groban,2008,Benny Andersson,None,2,34,3.5
Suzanne,Judy Collins,1966,Leonard Cohen,Folk,18,91,2.583333333
Antimatter,Tricky,2003,Garbage,Electronic,2,0,None
Smile,Ferrante & Teicher,1962,Charlie Chaplin,Easy,2,176,4
Ants,Mike Gordon / Leo Kottke,2020,Leo Kottke,None,2,0,3.5
Ants,Mike Gordon / Leo Kottke,2020,Leo Kottke,None,2,0,3.5
Any Dream Will Do,Royal Philharmonic Orchestra,1935,Andrew Lloyd Webber,Classical,7,55,None
Any Dream Will Do,Royal Philharmonic Orchestra,1935,Andrew Lloyd Webber,Classical,7,55,None
Danny Boy,The Chieftains / James Galway,1988,Frederick Edward Weatherly,Easy,2,445,3.5
Anything Goes,Stéphane Grappelli / Yo-Yo Ma,1989,Cole Porter,None,2,203,3
Anytime,Eddy Arnold,1948,"Herbert ""Happy"" Lawson",Plaintive,28,62,3.363636364
Blowin' in the Wind,"Peter, Paul and Mary",1963,Bob Dylan,Folk,20,0,2.235294118
God Bless the Child,Billie Holiday,1941,"Arthur Herzog, Jr.",Jazz,154,420,3.4
April in Portugal,Les Baxter,1992,Alex North,None,17,0,2.25
Suzanne,Judy Collins,1966,Leonard Cohen,Folk,18,91,2.583333333
Aragon,Ernesto Lecuona,1997,Ernesto Lecuona,None,3,0,3.75
Aranjuez,Plácido Domingo,2014,Daniel Barnidge,None,1,0,4
Aranjuez,Plácido Domingo,2014,Daniel Barnidge,None,1,0,4
Arbolito,Willie Colón / Héctor Lavoe,1973,José Barros,None,29,2,4
Charade,Henry Mancini,1972,Henry Mancini,Easy,14,165,3.571428571
Are You Sincere,Andy Williams,1958,Wayne Walker,In,27,23,3.227272727
I Could Have Danced All Night,Julie Andrews,1977,Alan Jay Lerner,Stage,9,160,4
Blowin' in the Wind,"Peter, Paul and Mary",1963,Bob Dylan,Folk,20,0,2.235294118
Aria With Fontana Mix Cathy Berberian: Voice,John Cage,2021,John Cage,None,1,0,None
"Aria, for solo voice (any range)",John Cage,1998,John Cage,None,1,0,5
"Ariettes oubliées, L. 63b~II. Il pleure dans mon coeur (Second Version)",Claude Debussy,2017,Claude Debussy,None,1,2,None
"Ariettes oubliées, L. 63b~III. L'ombre des arbres (Second Version)",Claude Debussy,2017,Claude Debussy,None,1,2,None
"Ariettes oubliées, L. 63b~V. Aquarelles - I. Green (Second Version)",Claude Debussy,2017,Claude Debussy,None,1,2,None
Ariya,King Sunny Ade,2000,King Sunny Ade,None,1,0,4.5
Ariya,Fela Kuti,1972,Fela Kuti,None,3,0,4
Arkansas Traveler,Norman Blake,1976,M. Christian,Country,1,32,None
I Only Have Eyes for You,Jackie Gleason,1953,Al Dubin,Easy,5,400,3.3
The Way We Were,Barbra Streisand,1973,Alan Bergman,Stage,13,158,3.772727273
Army of Me,Björk,1995,Björk,Electronic,2,1,3.4
Maria,Johnny Mathis,1959,Leonard Bernstein,Romantic,20,155,3.833333333
Articulation,György Ligeti,2018,Nino Rota,None,1,0,None
Articulation,György Ligeti,2018,Nino Rota,None,1,0,None
Artificial Authentic,Mouse on Mars,2021,Mouse on Mars,None,1,0,4.5
Artikulation,György Ligeti,2010,Nino Rota,None,2,0,None
Artikulation,György Ligeti,2010,Nino Rota,None,2,0,None
Citizen Kane~Suite/Prelude/The Inquirer (Polka) /Fenale/End Cast,Elmer Bernstein / Royal Philharmonic Orchestra,1993,Bernard Herrmann,Elaborate,1,0,4.5
As If We Never Said Goodbye,Barbra Streisand,1993,Don Black,Vocal,9,42,4.071428571
"Shake, Rattle & Roll",Big Joe Turner,1963,Charles E. Calhoun,Blues,65,155,3.576086957
Blowin' in the Wind,The New Christy Minstrels,1966,Bob Dylan,Folk,4,0,2.125
The Twelve Days of Christmas,The Chipmunks,1987,Traditional,Happy,3,0,2.333333333
"Don't Think Twice, It's All Right","Peter, Paul and Mary",1963,Bob Dylan,Pop/Rock,18,151,4
As Time Goes By,Chad Mitchell,1967,Herman Hupfeld,None,2,511,3.5
As Time Goes By,Richard Clayderman,1985,Herman Hupfeld,None,16,511,3
Do You Hear What I Hear?,Bing Crosby,1902,Noël Regney,Classical,78,0,2.35
I Only Have Eyes for You,Jackie Gleason,1953,Al Dubin,Easy,5,400,3.3
"Ashes, Grain and Sand",Bill Morrissey,1996,Bill Morrissey,None,1,0,3
Asiko Mi Ti To,Ebenezer Obey,1985,None,None,1,0,5
Asimbonanga,Johnny Clegg,2000,Johnny Clegg,Pop/Rock,3,7,None
Asimbonanga (Mandela),Johnny Clegg,1997,None,International,2,0,None
Citizen Kane~Suite/Prelude/The Inquirer (Polka) /Fenale/End Cast,Elmer Bernstein / Royal Philharmonic Orchestra,1993,Bernard Herrmann,Elaborate,1,0,4.5
Goodbye Pork Pie Hat,Bert Jansch / John Renbourn,1966,Charles Mingus,Pop/Rock,7,145,4
For the Good Times,Kris Kristofferson,1970,Kris Kristofferson,Country,16,137,3.692857143
Assault on Precinct 13,John Carpenter,2004,John Carpenter,None,2,3,4
Asshole of the Dance,Denis Leary,1997,Denis Leary,None,1,0,4.5
What Child Is This? (Greensleeves),Eugene Ormandy,1927,William Chatterton Dix,Classical,2,0,1.85
At the Ball,Bets Malone / Christopher Gaze / Melissa Lyons / Bets Malone / Steve Marvel / Susan Roman,2007,Megan Cavallari,None,1,0,None
At the Codfish Ball,The Chenille Sisters,1990,Sidney Mitchell,None,3,13,3.833333333
At the Cross (Love Ran Red),Chris Tomlin,2014,Matt Armstrong,None,14,3,3.5
At the Flop,Homer & Jethro,1989,Merle Travis,None,2,0,4.5
At the Purchaser's Option,Rhiannon Giddens,2017,Rhiannon Giddens,None,1,0,5
At the Rehab,Denis Leary,2009,Denis Leary,None,1,0,None
At the Seaside,Rachel Buchman,1997,Robert Louis Stevenson,None,1,0,3
"Come Out, for tape",Steve Reich,1987,Steve Reich,Avant-Garde,2,0,5
Coo Coo Bird,Mike Seeger,2003,Traditional,Neo-Traditional,2,0,4.5
Country Boy (You Got Your Feet in L.A.),Glen Campbell,1975,Dennis Lambert,Pop/Rock,32,0,4.617647059
At This Table,Idina Menzel,2019,Idina Menzel,R&B,23,0,None
Atalanta,Marlo Thomas & Friends,1972,Carol Hall,None,1,0,5
Atashgah,Silkroad Ensemble / Yo-Yo Ma,2013,Colin Jacobsen,None,1,0,4.5
Danville Girl,Dock Boggs,1997,Dock Boggs,Blues,3,0,4.5
Ataypura (High Andes),Yma Sumac,1950,Moisés Vivanco,Easy,4,0,4.125
"Athalie, incidental music, Op. 74~War March of the Priests",Boston Pops Orchestra,1959,Felix Mendelssohn,None,1,0,None
"Athalie, incidental music, Op. 74~War March of the Priests",Boston Pops Orchestra,1959,Felix Mendelssohn,None,1,0,None
"Athalie, incidental music, Op. 74~War March of the Priests",Boston Pops Orchestra,1959,Felix Mendelssohn,None,1,0,None
Both Sides Now,Judy Collins,1967,Joni Mitchell,Folk,66,0,2.014705882
Stars and Stripes Forever,Boston Pops Orchestra / Arthur Fiedler,1962,John Philip Sousa,Easy,5,134,3.625
Atlantic High,John Fahey,1985,John Fahey,None,3,0,3.25
Dead Parrot,Monty Python,1970,Monty Python,Pop/Rock,3,0,4.765
Atmosphères,György Ligeti,2013,Nino Rota,None,2,0,None
Atmosphères,György Ligeti,2013,Nino Rota,None,2,0,None
Atomic Moog,Coldcut,1996,None,None,6,0,3
Night Life,Willie Nelson,1965,Walt Breeland,Country,76,84,2.6625
"Audio, Video, Disco",Justice,2011,Gaspard Augé,None,3,0,3.75
Audubon's Lucy,Dick Hyman / Judy Hyman,2012,Judy Hyman,None,1,0,3.5
Stars and Stripes Forever,Boston Pops Orchestra / Arthur Fiedler,1962,John Philip Sousa,Easy,5,134,3.625
Auld Lang Syne,Michael Doucet,1986,Robert Burns,None,5,304,3.25
Aurora,Esquivel,1999,Mário Lago,None,1,1,3
Ausencia,Willie Colón / Héctor Lavoe,1978,Willie Colón,Latin,46,4,None
Autumn Leaves,Jackie Gleason,1955,Joseph Kosma,None,2,839,4.5
Autumn Leaves,Jackie Gleason,1955,Joseph Kosma,None,2,839,4.5
Autumn Leaves,Mitch Miller,1999,Joseph Kosma,None,4,839,3.5
Both Sides Now,Judy Collins,1967,Joni Mitchell,Folk,66,0,2.014705882
Avalanche,Eric Andersen,1969,Eric Andersen,None,1,0,2.5
Avalon,Rhiannon Giddens,2021,Rhiannon Giddens,None,1,0,4
Avalon Blues,Bill Morrissey,1999,Mississippi John Hurt,None,1,3,3
Derte Elha Telephone,Cheb Khaled,1999,None,International,2,0,4.5
Ave Maria,John Birch / James Galway / John Grady,1995,Franz Schubert,None,1,694,4
Days of Wine and Roses,Henry Mancini,1963,Henry Mancini,Easy,26,389,3.5
Granada,Plácido Domingo,1931,Agustín Lara,Classical,6,0,2.35
Ave Maria,Liberace,1991,Franz Schubert,None,9,694,2.4
This Land Is Your Land,"Peter, Paul and Mary",1962,Woody Guthrie,Folk,12,0,2.15
"Ellens Gesang III (""Ave Maria""), song for voice & piano, D. 839 (Op. 52/6)",Luciano Pavarotti,1933,Franz Schubert,Classical,14,0,1.7625
"Ave Maria, for voice & piano (after Bach's Prelude No. 1 from the Well-Tempered Clavier, Book 1)",Kiri Te Kanawa / Utah Symphony,1998,Franz Schubert,None,2,0,3
"Ellens Gesang III (""Ave Maria""), song for voice & piano, D. 839 (Op. 52/6)",Leontyne Price,1930,Franz Schubert,Classical,4,0,1.533333333
Avenue Of The Americas,Moondog,2005,Moondog,None,1,0,5
People,Barbra Streisand,1964,Bob Merrill,Stage,18,131,3.970588235
Awa Eve Iwoyi,Ebenezer Obey,1989,None,None,1,0,3
Awa Ewe Iwoyi,Ebenezer Obey,1985,None,None,1,0,5
Awake,Josh Groban,2006,Josh Groban,None,3,2,4
Away in a Manger,King's College Choir of Cambridge,2002,William James Kirkpatrick,None,5,60,4.5
Away in a Manger,King's College Choir of Cambridge,2002,William James Kirkpatrick,None,5,60,4.5
Away in a Manger,Julie Andrews,1968,James R. Murray,None,4,200,3.375
Away in a Manger,Kathleen Battle / New York Choral Artists,1995,James R. Murray,None,1,152,3
Away in a Manger,Carrie Underwood,2020,Traditional,None,14,554,3
Away in a manger (Tune: Cradle Song) (New English Hymnal 22),King's College Choir of Cambridge,1994,William James Kirkpatrick,None,1,18,2
Away in a manger (Tune: Cradle Song) (New English Hymnal 22),King's College Choir of Cambridge,1994,William James Kirkpatrick,None,1,18,2
Ay Te Dejo en San Antonio,Flaco Jiménez,1986,Santiago Jiménez,Latin,6,2,4.25
Aztec Riddim,Coldcut / On-U Sound System,2017,Matt Black,None,1,0,3.5
B Line,Lamb,2004,Andy Barlow,In,1,0,4
Baayo,Baaba Maal,1991,Baaba Maal,None,3,0,4.25
Baba,Oumou Sangaré,1990,Oumou Sangaré,International,3,0,4.166666667
Babadiya (Miss a Ram Goat),The Jolly Boys,1991,None,None,1,0,3
Born Free,Inezita Barroso,1964,John Barry,Vocal,8,82,3
Cripple Creek,Mike Seeger,1992,Traditional,Country,3,79,2.8
"Babar, for tabla with banjo & double bass",Béla Fleck / Zakir Hussain / Edgar Meyer,2009,Zakir Hussain,None,1,0,4
Babarabatiri,Gypsymen / Todd Terry,2010,Patrick Adams,None,3,0,None
Tumbling Tumbleweeds,Gene Autry,1935,Bob Nolan,Country,22,129,3.716666667
Baby Doll Polka,Frankie Yankovic,1970,Eddie Korosa,None,7,3,3
Tumbling Tumbleweeds,Gene Autry,1935,Bob Nolan,Country,22,129,3.716666667
I'll Be Seeing You,Bing Crosby,1944,Sammy Fain,Vocal,52,388,3.32
Baby I Love You,Little Milton,1970,Jimmy Holiday,None,10,3,4.166666667
Dirty Trip,Air,2000,Jean-Benoît Dunckel,Pop/Rock,3,0,4.8
Midnight Special,Woody Guthrie / Cisco Houston / Lead Belly,1995,Traditional,Blues,2,77,3
Baby Let Me Lay It On You,Dave Van Ronk,2015,Dave Van Ronk,None,1,0,3.5
Pennies From Heaven,Bing Crosby,1936,Johnny Burke,Vocal,69,0,3.104651163
This Land Is Your Land,"Peter, Paul and Mary",1962,Woody Guthrie,Folk,12,0,2.15
Tumbling Tumbleweeds,Gene Autry,1935,Bob Nolan,Country,22,129,3.716666667
We Are The Champions,Royal Philharmonic Orchestra,1931,Freddie Mercury,Classical,7,0,1.933333333
It All Depends on You,Jackie Gleason,1957,Lew Brown,Easy,6,71,3
Don't Let the Stars Get in Your Eyes,Perry Como,1993,Nino Rota,Vocal,70,0,4.666666667
"Baby, It’s Cold Outside",Vince Gill / Amy Grant,2016,Frank Loesser,None,13,331,4
I Got It Bad (And That Ain't Good),Jackie Gleason,1954,Duke Ellington,Soothing,2,343,3.5
Babylon,Oneohtrix Point Never,2018,Oneohtrix Point Never,None,1,0,4.5
It All Depends on You,Jackie Gleason,1957,Lew Brown,Easy,6,71,3
"Bachianas Brasileiras No. 5, for voice & 8 cellos, A. 389~Aria",Lynn Harrell / Kiri Te Kanawa,1939,Heitor Villa-Lobos,Classical,2,5,3.2
Back from the Dead,Spinal Tap,2009,Christopher Guest,None,1,0,3
Mr. Tambourine Man,Judy Collins,1965,Bob Dylan,R&B,10,126,4
Tico-Tico,Xavier Cugat,1993,Jose Abreu,Easy,6,71,2.8
The Pink Panther Theme,James Galway / Henry Mancini,1984,Henry Mancini,Easy,1,68,3
This Land Is Your Land,"Peter, Paul and Mary",1962,Woody Guthrie,Folk,12,0,2.15
Back Side of the Moon,The Orb,1991,Miquette Giraudy,Electronic,3,0,3.4
Back to Back (Belly to Belly),The Jolly Boys,1989,None,None,1,0,4.5
Agua de Beber,Astrud Gilberto / Antônio Carlos Jobim,1989,Vinícius de Moraes,Easy,43,125,4
Don't Make Me,Tom Chapin,1988,Tom Chapin,Children's,2,0,5
Walkin' After Midnight,Patsy Cline,1957,Alan Block,Country,196,67,2.658695652
Badou,Youssou N'Dour,1988,Youssou N'Dour,None,6,0,3.833333333
Bagatelles,,2019,Béla Bartók,None,1,0,None
Bajabula Bonke (The Healing Song),Hugh Masekela,1968,Miriam Makeba,None,5,0,3.8
Balaam de quo vaticians / (Ballam) (motet),Anonymous 4,1993,Steve Reich,None,2,0,4
Balaam de quo vaticians / (Ballam) (motet),Anonymous 4,1993,None,None,2,0,4
Balada Lui Costea Pacurarul,Gheorghe Zamfir,1971,Gheorghe Zamfir,None,4,0,None
Balada Sarpelui,Gheorghe Zamfir,1969,Gheorghe Zamfir,None,4,0,None
City Of New Orleans,Willie Nelson,1984,Steve Goodman,Country,32,66,2.975
Then You Can Tell Me Goodbye,Eddy Arnold,1968,John D. Loudermilk,Country,13,63,2.953846154
Ballad of John Henry,Ramblin' Jack Elliott,2004,Traditional,None,1,0,3
This Land Is Your Land,Woody Guthrie,1965,Woody Guthrie,Folk,48,0,2.033333333
"Ballade No. 1 in G Minor, Op. 23",,2014,Frédéric Chopin,None,1,22,None
"Ballade No. 2 in B Minor, S. 171",Vladimir Horowitz,2014,Franz Liszt,None,1,0,4.5
"Ballade No. 4 in F Minor, Op. 52",,2014,Frédéric Chopin,None,1,23,None
Agua De Beber,Astrud Gilberto,1984,Vinícius de Moraes,Easy,57,125,3.821428571
Ballade pour Adeline,James Last,1990,John Newton,None,7,0,2.25
Once in Royal David's City,Vienna Boys' Choir,1988,Traditional,Holiday,5,61,3
Baltimore Gas & Electric Co.,Raymond Scott,2000,Raymond Scott,None,1,0,4.5
Bamako,Toumani Diabaté / Béla Fleck,2020,Béla Fleck,None,1,0,4
Down South Blues,Dock Boggs,1964,Dock Boggs,Blues,5,0,4.5
The Girl From Ipanema,Astrud Gilberto,1973,Vinícius de Moraes,International,27,0,3.384615385
House of the Rising Sun,Joan Baez,1960,Traditional,Folk,9,0,2.3
"Bandoneon, Guitarra y Bajo",Astor Piazzolla,2000,Astor Piazzolla,None,18,1,None
